ID,MP,Constituency
244,Mostafijur Rahman,Dinajpur-5
245,Md. Mahbubur Rahman,Patuakhali-4
246,A.M Naimur Rahman,Manikganj-1
247,Salman F Rahman,Dhaka-1
248,Md. Enamur Rahaman,Dhaka-19
249,Mahfuzur Rahaman,Chittagong-3
250,Muhammad Shafiqur Rahman,Chandpur-4
251,Pir Fazlur Rahman,Sunamganj-4
252,A.K.M. Rahmatullah,Dhaka-11
253,Rajiuddin Ahmed Raju,Narsingdi-5
254,Moshiur Rahman Ranga,Rangpur-1
255,Harunur Rashid,Chapai Nawabganj-3
256,Kazi Firoz Rashid,Dhaka-6
257,Mouazzam Hossain Ratan,Sunamganj-1
258,Nasreen Jahan Ratna,Barisal-6
259,Muhammad Abdur Razzaque,Tangail-1
260,Nahim Razzaq,Shariatpur-3
261,Simeen Hussain (Rimi),Gazipur-4
262,Showkat Hasanur Rahman Rimon,Barguna-2
263,Mir Mostaque Ahmed Robi,Satkhira-2
264,Ranajit Kumar Roy,Jessore-4
265,Nurul Amin Ruhul,Chandpur-2
266,Md. Zahid Ahsan Russel,Gazipur-2
267,Ismat Ara Sadique,Jessore-6
268,Md. Sibli Sadiqe,Dinajpur-6
269,Eunus Ali Sarkar,Gaibandha-3
270,Md. Shahiduzzaman Sarker,Naogaon-2
271,Shah-e-Alam,Barisal-2
272,SM Shahjada,Patuakhali-3
273,Dhirendra Debnath Shambhu,Barguna-1
274,Begum Monnuzan Sufian,Khulna-3
275,Haji Mohammad Salim,Dhaka-7
276,Aftab Uddin Sarkar,Nilphamari-1
277,Aslam Hossain Saudagar,Kurigram-1
278,Mohammad Shahiduzzaman,Meherpur-2
279,Solaiman Haque Joarder (Selun),Chuadanga-1
280,Ramesh Chadra Sen,Thakurgaon-1
281,Iqbal Hossain Sabuj,Gazipur-3
282,Sheikh Fazlul Karim Selim,Gopalganj-2
283,Joya Sengupta,Sunamganj-2
284,Md. Abdus Shahid,Maulvibazar-4
285,AKM Enamul Haque Shamim,Shariatpur-2
286,Gazi Mohammad Shahnawaz,Habiganj-1
287,Shamsur Rahman Sherif,Pabna-4
288,Shamil Uddin Ahmed Shimul,Chapai Nawabganj-1
289,Md. Shafiqul Islam Shimul,Natore-2
290,Tahjib Alam Siddique,Jhenaidah-2
291,Saifuzzaman Shikhor,Magura-1
292,Shri Biren Sikder,Magura-2
293,Bir Bahadur Ushwe Sing,Bandarban
294,Gulam Mohammad Siraj,Bogra-6
295,Rana Mohammad Sohel,Nilphamari-3
296,Md. Nurul Islam Sujon,Panchagarh-2
297,Abu Sayeed Al Mahmood Swapon,Joypurhat-2
298,Hashibur Rahman Swapon,Sirajganj-6
299,Dipankar Talukdar,Rangamati
300,Md. Nurul Islam Talukder,Bogra-3
301,Sheikh Tanmoy,Bagerhat-2
302,Sheikh Fazle Noor Taposh,Dhaka-10
303,Mohd. Salim Uddin Tarafder,Naogaon-3
304,Rejwan Ahammad Taufiq,Kishoreganj-4
